,Acceptance,Asking price,Asking price per m²,Bathroom facilities,Building type,Energy label,Exterior space attached to the building,Facilities,Garden,Heating,Hot water,Insulation,Kind of house,Listed since,Living area,Location,bathrooms,rooms,Number of stories,Plot size,Specific,Status,Type of parking facilities,Type of roof,Volume in cubic meters,Year of construction,url,Accessibility,Annual meeting,Balcony/roof garden,Building insurance,CH boiler,External storage space,Located at,Maintenance plan,Periodic_contribution,Provisional energy label,Registration with KvK,Reserve fund present,Shed / storage,Type apartment,VVE (Owners Association) contribution,Quality marks,Service charges,Sun terrace,Type of garage,Other space inside the building,Garden location,Capacity,Back_garden,Construction period,city,bedroom,toilet,price_contribution
603,Available in consultation,900000,9375,Toilet,Resale,,,"Skylight, elevator, mechanical ventilation, passive ventilation system and TV via cable",,CH boiler,CH boiler,Mostly double glazed,,8 ,96,"Alongside a quiet road, on navigable waterway, alongside water, in center and unobstructed surrounding view",1 ,4  ,2,,Listed building (national monument),Sold under reservation,Paid parking and resident's parking permits,Gable  covered with  tiles,336,1623,https://www.funda.nl/en/koop/amsterdam/appartement-88036247-singel-518-n,,Yes,French balcony ,Yes,"Remeha Avanta 35c (gas-fired combination boiler, in ownership)",,5 ,Yes,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 240.00  ,, 240  ,,,3 ,,,,,amst,2 ,, 240.00 
604,Available in consultation,485000,8509,Shower,Resale,D  ,,Mechanical ventilation,Back garden,CH boiler,CH boiler,,,0,57,Alongside busy road and in residential district,1  ,3  ,1,,Protected townscape or village view (permit needed for alterations),Under offer,,,145,1931,https://www.funda.nl/en/koop/amsterdam/appartement-42627010-olympiaweg-93-a,,Yes,,Yes,"CV ketel Intergas HRE 36/30 A (gas-fired combination boiler from 2020, in ownership)",9,Grou ,Yes,Yes ,,Yes,Yes,Built-in,Ground-floor apartment (apartment), 157.00  ,,,,,, southeast,,27  ,,amst,2 , 1 , 157.00 
605,Available in consultation,550000,7432,Toilet,Resale,,9,,,CH boiler,CH boiler,,,3 ,74,Alongside a quiet road,1 ,4  ,1,,,Under offer,Public parking,,223,1960,https://www.funda.nl/en/koop/amsterdam/appartement-42601658-linnaeusparkweg-238-1,,Yes,Balcony ,Yes,"Gas-fired from 2016, in ownership",,1 ,Yes,Yes ,E ,Yes,Yes,,Mezzanine (apartment), 126.50  ,, 127  ,,,,,,,,amst,3 ,, 126.50 
606,Available in consultation,1049000,9450,Shower,Resale,F  ,5,,,Communal central heating,Central facility,Partly double glazed,,0,111,Alongside a quiet road and in residential district,1  ,4  ,1,,Protected townscape or village view (permit needed for alterations),Available,Paid parking and resident's parking permits,,360,1930,https://www.funda.nl/en/koop/amsterdam/appartement-42622908-watteaustraat-3-i,,Yes,,Yes,,,,Yes,Yes ,,Yes,Yes,,Mezzanine (apartment), 331.24  ,,,,,,,,,,amst,2 , 1 , 331.24 
607,Available in consultation,565000,4154,Toilet,Resale,A  ,15,Electricity,Back garden and front garden,CH boiler,CH boiler,"Roof insulation, double glazing and insulated walls","Single-family home, corner house",2 ,136,Alongside a quiet road and in residential district,1  ,4  ,3,128,,Sold under reservation,Parking on private property,Combination ,488,2003,https://www.funda.nl/en/koop/amsterdam/huis-42675528-ibizastraat-62,,,,,"Intergas (gas-fired combination boiler from 2003, in ownership)",6,,,,,,,Detached wooden storage,,,,,,Parking place,,,,,,amst,3 , 1 ,
608,Available in consultation,450000,6716,Shower,Resale,A  ,21,Electricity,,Complete floor heating and heat pump,Central facility,Completely insulated,,2 ,67,,1 ,3  ,1,,,Sold under reservation,Paid parking,Flat  covered with asphalt ing,223,2017,https://www.funda.nl/en/koop/amsterdam/appartement-42677946-papaverweg-73,,Yes,,Yes,,5,4 ,Yes,Yes ,,Yes,Yes,Built-in,Galleried apartment (apartment), 142.66  ,,,,,,,,,,amst,2 ,, 142.66 
609,Available in consultation,650000,9286,Shower,Resale,B  ,,,Back garden,CH boiler,CH boiler,Double glazing,,0,70,In residential district and unobstructed surrounding view,1  ,3  ,1,,,Available,Paid parking and resident's parking permits,,292,1907,https://www.funda.nl/en/koop/amsterdam/appartement-42624886-staringplein-10-h,,Yes,,Yes,"Remeha Avanta 28C (gas-fired combination boiler from 2012, in ownership)",1,Grou ,Yes,Yes ,,Yes,Yes,,Ground-floor apartment (apartment), 125.00  ,,,,,, west,,28  ,,amst,2 , 1 , 125.00 
610,Available in consultation,450000,6338,,Resale,,8,Electricity,,Communal central heating and partial floor heating,Electrical boiler,Double glazing and insulated walls,,4 ,71,Alongside a quiet road and in residential district,1  ,3  ,1,,,Sold under reservation,Paid parking and resident's parking permits,Flat  covered with asphalt ing,217,1961,https://www.funda.nl/en/koop/amsterdam/appartement-42609991-van-boshuizenstraat-485,,Yes,Balcony ,Yes,,6,3 ,Yes,Yes ,E ,Yes,Yes,Storage box,Upstairs apartment (apartment), 190.00  ,,,,,,,,,,amst,2 , 1 , 190.00 
611,Available in consultation,450000,4545,Bath and toilet,Resale,A  ,7,Electricity,,CH boiler,CH boiler,"Roof insulation, double glazing, insulated walls, floor insulation and completely insulated",,0,99,In residential district and unobstructed surrounding view,1  ,4  ,2,,With carpets and curtains,Available,"Paid parking, public parking, parking garage and resident's parking permits",Flat  covered with asphalt ing,312,1997,https://www.funda.nl/en/koop/amsterdam/appartement-42629955-belgieplein-19,,Yes,Balcony ,Yes,"HR Bosch (gas-fired combination boiler from 2017, in ownership)",4,4 ,Yes,Yes,,Yes,Yes,Storage box,Maisonnette (apartment),,, 203  ,,Underground parking,,,,,,amst,3 , 1 ,
612,Available in consultation,1100000,9649,,Resale,A  ,,"Electricity, heating and running water",,CH boiler,CH boiler,Double glazing,,5 ,114,In residential district,,4  ,3,,,Available,Parking on private property,Flat  covered with asphalt ing,962,,https://www.funda.nl/en/koop/amsterdam/appartement-42567439-cruquiusweg-98-c-en-d,,Yes,,Yes,"Nivolair (gas-fired combination boiler from 2010, in ownership)",,2 ,Yes,Yes ,,Yes,Yes,Built-in,Mezzanine (apartment), 427.20  ,,,,Built-in and parking place,177 ,,1 car,,2001-2010,amst,2 ,, 427.20 
613,Available in consultation,650000,7738,Bath,Resale,A  ,8,"Elevator, mechanical ventilation and passive ventilation system",,District heating and complete floor heating,District heating,Completely insulated,,2 ,84,"Alongside water, in residential district and unobstructed surrounding view",1 ,3  ,1,,,Available,Paid parking and parking garage,Flat  covered with asphalt ing,280,2018,https://www.funda.nl/en/koop/amsterdam/appartement-42619133-houthavenkade-116,,Yes,Balcony ,Yes,,15,7 ,Yes,Yes ,,Yes,Yes,Storage box,Upstairs apartment (apartment), 137.00  ,, 137  ,,Underground parking,,,,,,amst,2 ,, 137.00 
614,Available in consultation,1400000,6335,"3 baths, 3 showers and 3 toilets",Resale,,,,Patio/atrium,CH boiler,CH boiler,Double glazing,"Desirable residence/villa, row house",6+ ,221,In center,3 ,7  ,5,55,,Available,Paid parking and resident's parking permits,Flat  covered with asphalt ing,721,1905,https://www.funda.nl/en/koop/amsterdam/huis-86507572-lange-leidsedwarsstraat-136,,,,,"Combi ketel (gas-fired combination boiler, in ownership)",,,,,,,,,,,,,,,, southwest,,,,amst,4 ,,
615,Available in consultation,830000,6241,"Bath, shower and 2 toilets",Resale,F  ,20,Mechanical ventilation and TV via cable,,CH boiler,CH boiler,Partly double glazed and secondary glazing,"Desirable residence/villa, row house",2 ,133,"Alongside a quiet road, in center and in residential district",2 ,5  ,4,47,Protected townscape or village view (permit needed for alterations) and partly furnished with carpets and curtains,Available,"Paid parking, public parking and resident's parking permits",Combination  covered with asphalt ing and  tiles,454,1672,https://www.funda.nl/en/koop/amsterdam/huis-42618972-sint-pieterspoortsteeg-31,,,"Roof terrace , balcony  and french balcony ",,"Nefit HR (gas-fired combination boiler from 2017, in ownership)",,,,,,,,,,,Energie Prestatie Advies,,,,,,,,,amst,3 ,,
616,Available in consultation,400000,7273,Shower and toilet,Resale,E  ,6,,,CH boiler,CH boiler,Double glazing,,0,55,Alongside busy road and in residential district,1 ,3  ,1,,Monumental building,Available,Paid parking and resident's parking permits,Flat  covered with asphalt ing,183,1927,https://www.funda.nl/en/koop/amsterdam/appartement-42628633-hoofdweg-375-i,,Yes,Balcony ,Yes,"Nefit (gas-fired combination boiler from 2015, in ownership)",9,1 ,Yes,Yes,,Yes,Yes,Storage box,Upstairs apartment (apartment),,, 139  ,,,,,,,,amst,2 ,,
617,Available in consultation,2950000,9578,2 baths and shower,Resale,,4,"Electricity, heating and running water",Back garden,,CH boiler,,,3 ,308,,2  ,7  ,3,,,Available,,,1370,1880,https://www.funda.nl/en/koop/amsterdam/appartement-42540839-keizersgracht-131-d,,Yes,,Yes,,,Grou ,Yes,Yes,,Yes,Yes,Built-in,Ground-floor apartment (apartment),,, 830  ,,Built-in,77 , northeast,2 cars,131  ,,amst,5 , 2 ,
618,Available in consultation,300000,8824,Shower and toilet,Resale,,2,Electricity,,Communal central heating and district heating,Central facility,Double glazing,,0,34,,1  ,2  ,8,,,Under offer,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,111,,https://www.funda.nl/en/koop/amsterdam/appartement-42628575-van-nijenrodeweg-10,,No,Balcony ,No,,3,2 ,No,No,E ,No,No,Storage box,Upstairs apartment (apartment),,,,,,,,,,1960-1970,amst,1 , 1 ,
619,Available in consultation,375000,7075,,Resale,D  ,6,Mechanical ventilation and TV via cable,,CH boiler,CH boiler,Partly double glazed,,3 ,53,"Alongside a quiet road, alongside water, in residential district and unobstructed surrounding view",1 ,5  ,1,,,Under offer,Paid parking and resident's parking permits,Combination ,173,1934,https://www.funda.nl/en/koop/amsterdam/appartement-42615188-de-rijpgracht-45-ii,,Yes,Balcony ,Yes,"Remeha (gas-fired combination boiler from 2015, in ownership)",7,2 ,Yes,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 143.06  ,,,,,,,,,,amst,2 ,, 143.06 
620,Available in consultation,295000,7195,Shower and toilet,Resale,E  ,6,,,CH boiler,,Double glazing,,5 ,41,In center and in residential district,1 ,2  ,4,,,Sold under reservation,,,137,1924,https://www.funda.nl/en/koop/amsterdam/appartement-88805710-van-bossestraat-78-2,,Yes,Balcony ,Yes,,,2 ,Yes,Yes,,Yes,Yes,,Upstairs apartment,,, 133  ,,,,,,,,amst,1 ,,
621,Available in consultation,399000,8489,Bath and toilet,Resale,D   ,2,TV via cable,,CH boiler,CH boiler,Double glazing,,0,47,Alongside a quiet road and in residential district,1 ,2  ,1,,,Available,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,147,1906,https://www.funda.nl/en/koop/amsterdam/appartement-42636752-van-ostadestraat-374-iii,,Yes,Balcony ,Yes,"Bosch (gas-fired combination boiler, in ownership)",,4 ,No,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 85.00  ,,,,,,,,,,amst,1 ,, 85.00 
622,Available in consultation,350000,3571,Shower,Resale,E  ,16,Elevator and TV via cable,,Communal central heating,Central facility,,,8 ,98,,1  ,4  ,1,,Renovation project,Sold under reservation,Public parking,Flat  covered with asphalt ing,309,1969,https://www.funda.nl/en/koop/amsterdam/appartement-42679815-elpermeer-185,,Yes,Balcony ,Yes,,5,3 ,Yes,Yes ,,Yes,Yes,Storage box,Galleried apartment (apartment), 197.36  ,,,,,,,,,,amst,3 , 1 , 197.36 
624,Available in consultation,850000,9444,Shower,Resale,,,Electricity and running water,Back garden,CH boiler,CH boiler,"Partly double glazed, insulated walls and floor insulation",,0,90,Alongside a quiet road and in residential district,1  ,3  ,1,,Protected townscape or village view (permit needed for alterations),Available,Paid parking and resident's parking permits,Gable  covered with  tiles,334,1930,https://www.funda.nl/en/koop/amsterdam/appartement-42627335-van-tuyll-van-serooskerkenweg-33-hs,,Yes,,Yes,"Intergas HR (gas-fired combination boiler from 2018, in ownership)",6,Grou ,No,Yes ,,Yes,Yes,Detached wooden storage,Ground-floor apartment (apartment), 83.09  ,, 83  ,,,, south,,53  ,,amst,2 , 1 , 83.09 
625,Available in consultation,400000,8000,Shower and toilet,Resale,D   ,2,"Electricity, heating and running water",,CH boiler,CH boiler,Double glazing,,4 ,50,Alongside a quiet road and in residential district,1  ,4  ,1,,,Available,Paid parking and public parking,Mansard  covered with  tiles,159,1926,https://www.funda.nl/en/koop/amsterdam/appartement-42693226-gorontalostraat-6-d,,Yes,Balcony ,Yes,"Intergas (gas-fired combination boiler from 2014, in ownership)",,4 ,Yes,Yes ,,Yes,Yes,Built-in,Apartment with shared street entrance (apartment), 111.15  ,,,,,12 ,,,,,amst,2 , 1 , 111.15 
626,Available in consultation,4600000,18776,Bath and 2 toilets,Resale,A  ,19,Electricity and heating,Sun terrace,"Gas heater, complete floor heating and heat pump",CH boiler,Triple glazed and completely insulated,,7 ,245,Alongside a quiet road and in residential district,2  ,4  ,2,,,Available,"Paid parking, parking on gated property, parking on private property, parking garage and resident's parking permits",Combination ,860,2020,https://www.funda.nl/en/koop/amsterdam/appartement-88049927-ruysdaelstraat-79-a-pp,Accessible for seniors,Yes,,Yes,,7,1 ,Yes,Yes,,Yes,Yes,Storage box,Double ground-floor apartment,,Energie Prestatie Advies,,,Underground parking,,,,,,amst,3 , 1 ,
627,Available in consultation,550000,6790,Shower,Resale,A  ,5,Electricity,,CH boiler,CH boiler,,,0,81,In residential district,1  ,4  ,1,,Partly furnished with carpets and curtains,Under offer,"Paid parking, public parking and resident's parking permits",,259,2013,https://www.funda.nl/en/koop/amsterdam/appartement-42626118-makassarstraat-124-a,,Yes,,Yes,"Gas-fired combination boiler from 2013, in ownership",4,1 ,Yes,Yes ,,Yes,Yes,Storage box,Upstairs apartment (apartment), 132.00  ,,,,,,,,,,amst,2 , 1 , 132.00 
628,Available in consultation,435000,5179,Shower,Resale,B  ,5,Electricity,,CH boiler,CH boiler,,,0,84,In residential district and unobstructed surrounding view,1  ,3  ,1,,,Available,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,259,1993,https://www.funda.nl/en/koop/amsterdam/appartement-42639592-leuvenstraat-158,,Yes,Balcony ,Yes,"Intergas (gas-fired combination boiler from 2022, in ownership)",5,3 ,Yes,Yes ,,Yes,Yes,Detached wooden storage,Upstairs apartment (apartment), 100.82  ,,,,,,,,,,amst,2 , 1 , 100.82 
629,Available in consultation,375000,7653,Shower and toilet,Resale,D  ,6,Mechanical ventilation and TV via cable,,CH boiler,CH boiler,No insulation,,8 ,49,Alongside a quiet road and in residential district,1 ,2  ,1,,,Sold under reservation,Public parking,Flat  covered with asphalt ing,123,,https://www.funda.nl/en/koop/amsterdam/appartement-42670509-bestevaerstraat-145-i,,Yes,Balcony ,Yes,"Gas-fired combination boiler from 2003, in ownership",7,2 ,Yes,Yes ,,Yes,Yes,Storage box,Upstairs apartment (apartment), 116.00  ,,,,,,,,,1931-1944,amst,1 ,, 116.00 
630,Available in consultation,540682,5517,Shower and toilet,New,,,Electricity and running water,Sun terrace,District heating and heat pump,District heating,Completely insulated,,4 ,98,"Alongside busy road, alongside park and in center",1  ,4  ,1,,,Sold under reservation,Public parking,Flat  covered with asphalt ing,276,2022,https://www.funda.nl/en/koop/amsterdam/appartement-42599935-appartement-xxl-bouwnr-65,,,Balcony ,,,,5 ,,,A ,,,Built-in,Upstairs apartment (apartment),,Woningborg garantiecertificaat,,"11 m² (2,1 meter deep and 5 meter broad)",,, east,,,,amst,3 , 1 ,
631,Available immediately,400000,6780,,Resale,,6,,,CH boiler,CH boiler,Double glazing,,2 ,59,Alongside a quiet road and in residential district,,2  ,1,,"Protected townscape or village view (permit needed for alterations), partly furnished with carpets and curtains and monumental building",Under offer,,,186,1925,https://www.funda.nl/en/koop/amsterdam/appartement-42610768-vespuccistraat-61-3,,Yes,,Yes,"Intergas KK12 (gas-fired combination boiler from 2001, in ownership)",,3 ,Yes,Yes ,G ,Yes,Yes,,Upstairs apartment (apartment), 200.00  ,, 200  ,,,2 ,,,,,amst,1 ,, 200.00 
632,Available in consultation,650000,5652,Toilet,Resale,A  ,,Electricity and heating,Back garden and patio/atrium,CH boiler,CH boiler,"Roof insulation, double glazing and insulated walls","Single-family home, row house (patio residence)",8 ,115,"Alongside a quiet road, sheltered location and in residential district",1  ,4  ,2,118,,Available,Public parking and resident's parking permits,Flat  covered with asphalt ing,402,1998,https://www.funda.nl/en/koop/amsterdam/huis-88036238-jf-berghoefplantsoen-23,,,,,"Nefit (gas-fired combination boiler from 2015, in ownership)",,,,,,,,Built-in,,,Energie Prestatie Advies,,,,, north,,,,amst,3 , 1 ,
633,Available in consultation,385000,3812,Bath and toilet,Resale,,23,,Sun terrace,CH boiler,CH boiler,,,5 ,101,,1  ,5  ,2,,Renovation project,Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,317,1961,https://www.funda.nl/en/koop/amsterdam/appartement-42693194-louis-schottingstraat-25,,Yes,Roof terrace  and balcony ,Yes,"Gas-fired combination boiler, in ownership",7,2 ,Yes,Yes ,E ,Yes,Yes,Built-in,Maisonnette (double upstairs apartment), 100.00  ,,,20 m² (5 meter deep and 4 meter broad),,, south,,,,amst,4 , 1 , 100.00 
634,Available in consultation,395000,3762,Shower and toilet,Resale,C  ,,,Back garden and front garden,CH boiler,CH boiler,,"Single-family home, row house",3 ,105,,1  ,6  ,3,126,,Sold under reservation,Public parking,Gable  covered with  tiles,412,1983,https://www.funda.nl/en/koop/amsterdam/huis-88900756-sleewijkstraat-6,,,,,"Nefit bosch (gas-fired from 2017, to rent)",21,,,,,,,Detached wooden storage,,,,,,,14 , southwest ,,63  ,,amst,4 , 2 ,
636,Available in consultation,400000,7547,Shower and toilet,Resale,,6,Passive ventilation system,,CH boiler,CH boiler,Double glazing,,4 ,53,Alongside a quiet road and in residential district,1 ,3  ,1,,,Under offer,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,162,1950,https://www.funda.nl/en/koop/amsterdam/appartement-42519726-sanderijnstraat-24-2,,Yes,Balcony ,Yes,Gas-fired combination boiler,11,2 ,Yes,Yes,E ,Yes,Yes,,Apartment with shared street entrance (apartment),,,,,,,,,,,amst,2 ,,
